event_debunk_content_count,event_exposure_ratio,event_id,event_max_cascade_depth,event_mean_seen_count_among_exposed,event_normal_content_count,event_rumor_content_count,event_share_count_total,event_total_actions,event_unique_spreader_ratio,label,run_id
0,0.91,event1,11,3.7362637362637363,331,0,311,549,0.83,hard_on,exp_20260321_162441_exp_rq3_hard
0,1.0,event10,11,13.94,1200,0,1366,2264,0.99,hard_on,exp_20260321_162441_exp_rq3_hard
0,0.38,event3,2,1.236842105263158,0,53,4,14,0.03,hard_on,exp_20260321_162441_exp_rq3_hard
0,0.17,event4,2,1.1764705882352942,0,47,4,12,0.03,hard_on,exp_20260321_162441_exp_rq3_hard
0,0.81,event5,6,2.0617283950617282,179,0,123,233,0.6,hard_on,exp_20260321_162441_exp_rq3_hard
0,0.89,event7,6,3.404494382022472,0,142,110,273,0.52,hard_on,exp_20260321_162441_exp_rq3_hard
0,1.0,event1,11,14.61,1264,0,1442,2367,1.0,hard_off,exp_20260321_165524_exp_rq3_hard
0,0.95,event10,7,3.042105263157895,305,0,278,470,0.88,hard_off,exp_20260321_165524_exp_rq3_hard
0,0.43,event3,3,1.186046511627907,0,54,5,19,0.04,hard_off,exp_20260321_165524_exp_rq3_hard
0,0.22,event4,5,1.3636363636363635,0,56,13,32,0.08,hard_off,exp_20260321_165524_exp_rq3_hard
0,0.82,event5,7,2.2439024390243905,186,0,137,249,0.61,hard_off,exp_20260321_165524_exp_rq3_hard
0,0.88,event7,5,3.0454545454545454,0,122,86,233,0.49,hard_off,exp_20260321_165524_exp_rq3_hard
0,0.81,event1,5,2.4074074074074074,199,0,157,293,0.64,soft_on,exp_20260321_173127_exp_rq3_soft
0,1.0,event10,11,17.46,1405,0,1621,2734,1.0,soft_on,exp_20260321_173127_exp_rq3_soft
0,0.13,event3,2,1.0769230769230769,0,22,3,11,0.02,soft_on,exp_20260321_173127_exp_rq3_soft
0,0.08,event4,2,1.0,0,15,1,8,0.01,soft_on,exp_20260321_173127_exp_rq3_soft
0,0.67,event5,4,2.1044776119402986,145,0,86,164,0.43,soft_on,exp_20260321_173127_exp_rq3_soft
0,0.67,event7,6,3.2388059701492535,0,110,113,280,0.42,soft_on,exp_20260321_173127_exp_rq3_soft
0,0.97,event1,11,4.061855670103093,358,0,341,615,0.87,soft_off,exp_20260321_181711_exp_rq3_soft
0,1.0,event10,11,11.76,970,0,1083,1805,1.0,soft_off,exp_20260321_181711_exp_rq3_soft
0,0.23,event3,3,1.3043478260869565,0,26,6,23,0.06,soft_off,exp_20260321_181711_exp_rq3_soft
0,0.28,event4,8,1.25,0,36,23,50,0.19,soft_off,exp_20260321_181711_exp_rq3_soft
0,0.88,event5,9,2.965909090909091,228,0,182,336,0.64,soft_off,exp_20260321_181711_exp_rq3_soft
0,0.9,event7,7,4.511111111111111,0,212,234,542,0.7,soft_off,exp_20260321_181711_exp_rq3_soft
0,0.87,event1,7,3.586206896551724,283,0,256,457,0.75,loose_on,exp_20260321_175126_exp_rq3_loose
0,1.0,event10,11,15.99,1368,0,1568,2613,1.0,loose_on,exp_20260321_175126_exp_rq3_loose
0,0.05,event3,1,1.2,0,20,0,1,0.0,loose_on,exp_20260321_175126_exp_rq3_loose
0,0.12,event4,3,1.0,0,18,4,12,0.04,loose_on,exp_20260321_175126_exp_rq3_loose
0,0.82,event5,5,2.707317073170732,205,0,166,291,0.63,loose_on,exp_20260321_175126_exp_rq3_loose
0,0.66,event7,5,2.287878787878788,0,72,67,161,0.38,loose_on,exp_20260321_175126_exp_rq3_loose
0,0.9,event1,7,3.6,298,0,267,490,0.76,loose_off,exp_20260321_183118_exp_rq3_loose
0,1.0,event10,11,15.37,1336,0,1535,2539,1.0,loose_off,exp_20260321_183118_exp_rq3_loose
0,0.05,event3,1,1.2,0,20,0,3,0.0,loose_off,exp_20260321_183118_exp_rq3_loose
0,0.05,event4,3,1.0,0,16,2,5,0.02,loose_off,exp_20260321_183118_exp_rq3_loose
0,0.83,event5,6,3.0481927710843375,232,0,198,332,0.65,loose_off,exp_20260321_183118_exp_rq3_loose
0,0.67,event7,5,2.5522388059701493,0,94,93,206,0.36,loose_off,exp_20260321_183118_exp_rq3_loose
