event_id,exposure_ratio,label,like_count,mean_belief_score_all_users,mean_seen_count_among_exposed,misbelief_ratio_all_users,misbelief_ratio_among_exposed,run_id,share_count_total
event3,0.38,hard_on,11,-0.006000000000000001,1.236842105263158,0.16,0.42105263157894735,exp_20260321_162441_exp_rq3_hard,4
event4,0.17,hard_on,9,0.004,1.1764705882352942,0.08,0.47058823529411764,exp_20260321_162441_exp_rq3_hard,4
event7,0.89,hard_on,178,0.1726,3.404494382022472,0.69,0.7752808988764045,exp_20260321_162441_exp_rq3_hard,110
event3,0.43,hard_off,15,-0.006000000000000003,1.186046511627907,0.2,0.46511627906976744,exp_20260321_165524_exp_rq3_hard,5
event4,0.22,hard_off,20,0.021499999999999995,1.3636363636363635,0.14,0.6363636363636364,exp_20260321_165524_exp_rq3_hard,13
event7,0.88,hard_off,158,0.17699999999999994,3.0454545454545454,0.72,0.8181818181818182,exp_20260321_165524_exp_rq3_hard,86
event3,0.13,soft_on,9,0.018000000000000002,1.0769230769230769,0.12,0.9230769230769231,exp_20260321_173127_exp_rq3_soft,3
event4,0.08,soft_on,7,0.009000000000000001,1.0,0.07,0.875,exp_20260321_173127_exp_rq3_soft,1
event7,0.67,soft_on,187,0.24650000000000002,3.2388059701492535,0.65,0.9701492537313433,exp_20260321_173127_exp_rq3_soft,113
event3,0.23,soft_off,17,0.020000000000000004,1.3043478260869565,0.19,0.8260869565217391,exp_20260321_181711_exp_rq3_soft,6
event4,0.28,soft_off,28,0.031000000000000007,1.25,0.22,0.7857142857142857,exp_20260321_181711_exp_rq3_soft,23
event7,0.9,soft_off,347,0.41860000000000014,4.511111111111111,0.84,0.9333333333333333,exp_20260321_181711_exp_rq3_soft,234
event3,0.05,loose_on,1,0.0030000000000000005,1.2,0.03,0.6,exp_20260321_175126_exp_rq3_loose,0
event4,0.12,loose_on,8,0.012,1.0,0.08,0.6666666666666666,exp_20260321_175126_exp_rq3_loose,4
event7,0.66,loose_on,106,0.16449999999999995,2.287878787878788,0.55,0.8333333333333334,exp_20260321_175126_exp_rq3_loose,67
event3,0.05,loose_off,3,0.004,1.2,0.04,0.8,exp_20260321_183118_exp_rq3_loose,0
event4,0.05,loose_off,3,0.002,1.0,0.03,0.6,exp_20260321_183118_exp_rq3_loose,2
event7,0.67,loose_off,129,0.1818999999999999,2.5522388059701493,0.59,0.8805970149253731,exp_20260321_183118_exp_rq3_loose,93
